text,ruby
算数,さんすう
最小,さいしょう
最大,さいだい
公倍数,こうばいすう
公約数,こうやくすう
倍数,ばいすう
約数,やくすう
表示,ひょうじ
変数,へんすう
分数,ぶんすう
通分,つうぶん
約分,やくぶん
余計,よけい
理由,りゆう
答,こたえ
時,とき
分の,ぶんの
一,いち
二,に
消し,けし
足し算,たしざん
引き算,ひきざん
分母,ぶんぼ
分子,ぶんし
足し,たし
調べて,しらべて
小さく,ちいさく
繰り返し,くりかえし
確かめ,たしかめ
表し,あらわし
増やし,ふやし
余り,あまり
求める,もとめる
使う,つかう
使って,つかって
記号,きごう
意味,いみ
両方,りょうほう
共通,きょうつう
確認,かくにん
同士,どうし
計算,けいさん
素数,そすう
素数,そすう
実験,じっけん
実行,じっこう
用意,ようい
かけ算,かけざん
掛け算,かけざん
割り算,わりざん
数え,かぞえ
増え,ふえ
割って,わって
割り切れ,わりきれ
四捨五入,ししゃごにゅう
切り捨て,きりすて
切り上げ,きりあげ
位,くらい
以上,いじょう
以下,いか
整数,せいすう
割った,わった
足せ,たせ
判断,はんだん
世界,せかい
作って,つくって
数,かず
桁,けた
何,なに
後,あと
前,まえ
九九,くく
種類,しゅるい
問題,もんだい
間違って,まちがって
終了,しゅうりょう
測って,はかって
何秒,なんびょう
問,もん
段,だん
使います,つかいます
見て,みて
出して,だして
縮め,ちぢめ
減ら,へら
出さ,ださ
式,しき
押し,おし
